principal_diagnostic,icd_code
Infecciones intestinales debidas a virus y otros organismos especificados,A08
Enteritis debida a rotavirus,A080
Gastroenteropatía aguda debida al agente de Norwalk,A081
Enteritis debida a adenovirus,A082
Otras enteritis virales,A083
"Infección intestinal viral, sin otra especificación",A084
Otras infecciones intestinales especificadas,A085
Diarrea y gastroenteritis de presunto origen infeccioso,A09
"Tuberculosis respiratoria, confirmada bacteriológica e histológicamente",A15
"Tuberculosis del pulmón, confirmada por hallazgo microscópico del bacilo tuberculoso en esputo, con o sin cultivo",A150
"Tuberculosis del pulmón, confirmada únicamente por cultivo",A151
"Tuberculosis del pulmón, confirmada histológicamente",A152
"Tuberculosis del pulmón, confirmada por medios no especificados",A153
"Tuberculosis de ganglios linfáticos intratorácicos, confirmada bacteriológica e histológicamente",A154
"Tuberculosis de laringe, tráquea y bronquios, confirmada bacteriológica e histológicamente",A155
"Pleuresía tuberculosa, confirmada bacteriológica e histológicamente",A156
"Tuberculosis respiratoria primaria, confirmada bacteriológica e histológicamente",A157
"Otras tuberculosis respiratorias, confirmadas bacteriológica e histológicamente",A158
"Tuberculosis respiratoria no especificada, confirmada bacteriológica e histológicamente",A159
"Tuberculosis respiratoria, no confirmada bacteriológica o histológicamente",A16
"Tuberculosis del pulmón, con examen bacteriológico e histológico negativos",A160
"Tuberculosis de pulmón, sin examen bacteriológico e histológico",A161
"Tuberculosis de pulmón, sin mención de confirmación bacteriológica o histológica",A162
"Tuberculosis de ganglios linfáticos intratorácicos, sin mención de confirmación bacteriológica o histológica",A163
"Tuberculosis de laringe, tráquea y bronquios, sin mención de confirmación bacteriológica o histológica",A164
"Pleuresía tuberculosa, sin mención de confirmación bacteriológica o histológica",A165
"Tuberculosis respiratoria primaria, sin mención de confirmación bacteriológica o histológica",A167
"Otras tuberculosis respiratorias, sin mención de confirmación",A168
"Tuberculosis respiratoria no especificada, sin mención de confirmación bacteriológica o histológica",A169
Tuberculosis del sistema nervioso,A17
Meningitis tuberculosa (G01),A170
Tuberculoma meníngeo (G07),A171
Otras tuberculosis del sistema nervioso,A178
"Tuberculosis del sistema nervioso, no especificada (G99.8)",A179
Tuberculosis de otros órganos,A18
Tuberculosis de huesos y articulaciones,A180
Tuberculosis del aparato genitourinario,A181
Linfadenopatía periférica tuberculosa,A182
"Tuberculosis de los intestinos, el peritoneo y los ganglios mesentéricos",A183
Tuberculosis de la piel y el tejido subcutáneo,A184
Tuberculosis del ojo,A185
Tuberculosis del oído,A186
Tuberculosis de glándulas suprarrenales (E35.1),A187
Tuberculosis de otros órganos especificados,A188
Tuberculosis miliar,A19
Tuberculosis miliar aguda de un solo sitio especificado,A190
Tuberculosis miliar aguda de sitios múltiples,A191
"Tuberculosis miliar aguda, no especificada",A192
Otras tuberculosis miliares,A198
"Tuberculosis miliar, sin otra especificación",A199
Peste,A20
Peste bubónica,A200
Peste celulocutánea,A201
Peste neumónica,A202
Meningitis por peste,A203
Peste septicémica,A207
Otras formas de peste,A208
"Peste, no especificada",A209
Tularemia,A21
Tularemia ulceroglandular,A210
Tularemia oculoglandular,A211
Tularemia pulmonar,A212
Tularemia gastrointestinal,A213
Tularemia generalizada,A217
Otras formas de tularemia,A218
"Tularemia, no especificada",A219
Carbunco [ántrax],A22
Carbunco cutáneo,A220
Carbunco pulmonar,A221
Carbunco gastrointestinal,A222
Carbunco septicémico,A227
Otras formas de carbunco,A228
"Carbunco, no especificado",A229
Brucelosis,A23
Brucelosis debida a Brucella melitensis,A230
Brucelosis debida a Brucella abortus,A231
Brucelosis debida a Brucella suis,A232
Brucelosis debida a Brucella canis,A233
Otras brucelosis,A238
"Brucelosis, no especificada",A239
Muermo y melioidosis,A24
Muermo,A240
Melioidosis aguda y fulminante,A241
Melioidosis subaguda y crónica,A242
Otras melioidosis,A243
"Melioidosis, no especificada",A244
Fiebres por mordedura de rata,A25
Espirilosis,A250
Estreptobacilosis,A251
"Fiebre por mordedura de rata, no especificada",A259
Erisipeloide,A26
Erisipeloide cutáneo,A260
Septicemia por Erysipelothrix,A267
Otras formas de erisipeloide,A268
"Erisipeloide, no especificada",A269
Leptospirosis,A27
Leptospirosis icterohemorrágica,A270
Otras formas de leptospirosis,A278
"Leptospirosis, no especificada",A279
"Otras enfermedades zoonóticas bacterianas, no clasificadas en otra parte",A28
Pasteurelosis,A280
Enfermedad por rasguño de gato,A281
Yersiniosis extraintestinal,A282
"Otras enfermedades zoonóticas bacterianas especificadas, no clasificadas en otra parte",A288
"Enfermedad zoonótica bacteriana, sin otra especificación",A289
Lepra [enfermedad de Hansen],A30
Lepra indeterminada,A300
Lepra tuberculoide,A301
Lepra tuberculoide limítrofe,A302
Lepra limítrofe,A303
Lepra lepromatosa limítrofe,A304
Lepra lepromatosa,A305
Otras formas de lepra,A308
"Lepra, no especificada",A309
Infecciones debidas a otras micobacterias,A31
Infecciones por micobacterias pulmonares,A310
Infección cutánea por micobacterias,A311
Otras infecciones por micobacterias,A318
"Infección por micobacteria, no especificada",A319
Listeriosis,A32
Listeriosis cutánea,A320
Meningitis y meningoencefalitis listeriana,A321
Septicemia listeriana,A327
Otras formas de listeriosis,A328
"Listeriosis, no especificada",A329
Tétanos neonatal,A33
Tétanos obstétrico,A34
Otros tétanos,A35
Difteria,A36
Difteria faríngea,A360
Difteria nasofaríngea,A361
Difteria laríngea,A362
Difteria cutánea,A363
Otras difterias,A368
"Difteria, no especificada",A369
Tos ferina [tos convulsiva],A37
Tos ferina debida a Bordetella pertussis,A370
Tos ferina debida a Bordetella parapertussis,A371
Tos ferina debida a otras especies de Bordetella,A378
"Tos ferina, no especificada",A379
Escarlatina,A38
Enfermedad meningocócica,A39
Meningitis meningocócica (G01),A390
Síndrome de Waterhouse-Friderichsen (E35.1),A391
Meningococemia aguda,A392
Meningococemia crónica,A393
"Meningococemia, no especificada",A394
Enfermedad cardíaca debida a meningococo,A395
Otras formas de enfermedad meningocócica:,A398
"Enfermedad meningocócica, no especificada",A399
Septicemia estreptocócica,A40
"Septicemia debida a estreptococo, grupo A",A400
"Septicemia debida a estreptococo, grupo B",A401
"Septicemia debida a estreptococo, grupo D",A402
Septicemia debida a Streptococcus pneumoniae,A403
Otras septicemias estreptocócicas,A408
"Septicemia estreptocócica, no especificada",A409
Otras septicemias,A41
Septicemia debida a Staphylococcus aureus,A410
Septicemia debida a otro estafilococo especificado,A411
Septicemia debida a estafilococo no especificado,A412
Septicemia debida a Haemophilus influenzae,A413
Septicemia debida a anaerobios,A414
Septicemia debida a otros organismos gramnegativos,A415
Otras septicemias especificadas,A418
"Septicemia, no especificada",A419
Actinomicosis,A42
Actinomicosis pulmonar,A420
Actinomicosis abdominal,A421
Actinomicosis cervicofacial,A422
Septicemia actinomicótica,A427
Otras formas de actinomicosis,A428
"Actinomicosis, sin otra especificación",A429
Nocardiosis,A43
Nocardiosis pulmonar,A430
Nocardiosis cutánea,A431
Otras formas de nocardiosis,A438
"Nocardiosis, no especificada",A439
Bartonelosis,A44
Bartonelosis sistémica,A440
Bartonelosis cutánea y mucocutánea,A441
Otras formas de bartonelosis,A448
"Bartonelosis, no especificada",A449
Erisipela,A46
"Otras enfermedades bacterianas, no clasificadas en otra parte",A48
Gangrena gaseosa,A480
Enfermedad de los legionarios,A481
Enfermedad de los legionarios no neumónica [fiebre de Pontiac],A482
Síndrome del choque tóxico,A483
Fiebre purpúrica brasileña,A484
Otras enfermedades bacterianas especificadas,A488
Infección bacteriana de sitio no especificado,A49
"Infección estafilocócica, de sitio no especificado",A490
"Infección estreptocócica, de sitio no especificado",A491
"Infección por Haemophilus influenzae, de sitio no especificado",A492
"Infección por micoplasma, de sitio no especificado",A493
"Otras infecciones bacterianas, de sitio no especificado",A498
"Infección bacteriana, no especificada",A499
Sífilis congénita,A50
"Sífilis congénita precoz, sintomática",A500
"Sífilis congénita precoz, latente",A501
"Sífilis congénita precoz, sin otra especificación",A502
Oculopatía sifilítica congénita tardía,A503
Neurosífilis congénita tardía [neurosífilis juvenil],A504
"Otras formas de sífilis congénita tardía, sintomática",A505
"Sífilis congénita tardía, latente",A506
"Sífilis congénita tardía, sin otra especificación",A507
"Sífilis congénita, sin otra especificación",A509
Sífilis precoz,A51
Sífilis genital primaria,A510
Sífilis primaria anal,A511
Sífilis primaria en otros sitios,A512
Sífilis secundaria de piel y membranas mucosas,A513
Otras sífilis secundarias,A514
"Sífilis precoz, latente",A515
"Sífilis precoz, sin otra especificación",A519
Sífilis tardía,A52
Sífilis cardiovascular,A520
Neurosífilis sintomática,A521
Neurosífilis asintomática,A522
Neurosífilis no especificada,A523
Otras sífilis tardías sintomáticas,A527
"Sífilis tardía, latente",A528
"Sífilis tardía, no especificada",A529
Otras sífilis y las no especificadas,A53
"Sífilis latente, no especificada como precoz o tardía",A530
"Sífilis, no especificada",A539
Infección gonocócica,A54
Infección gonocócica del tracto genitourinario inferior sin absceso periuretral o de glándula accesoria,A540
Infección gonocócica del tracto genitourinario inferior con absceso periuretral y de glándulas accesorias,A541
Pelviperitonitis gonocócica y otras infecciones gonocócicas genitourinarias,A542
Infección gonocócica del ojo,A543
Infección gonocócica del sistema osteomuscular,A544
Faringitis gonocócica,A545
Infección gonocócica del ano y del recto,A546
Otras infecciones gonocócicas,A548
"Infección gonocócica, no especificada",A549
Linfogranuloma (venéreo) por clamidias,A55
Otras enfermedades de transmisión sexual debidas a clamidias,A56
Infección del tracto genitourinario inferior debida a clamidias,A560
Infección del pelviperitoneo y otros órganos genitourinarios debida a clamidias,A561
"Infecciones del tracto genitourinario debidas a clamidias, sin otra especificación",A562
Infección del ano y del recto debida a clamidias,A563
Infección de faringe debida a clamidias,A564
Infección de transmisión sexual de otros sitios debida a clamidias,A568
Chancro blando,A57
Granuloma inguinal,A58
Tricomoniasis,A59
Tricomoniasis urogenital,A590
Tricomoniasis de otros sitios,A598
"Tricomoniasis, no especificada",A599
Infección anogenital debida a virus del herpes [herpes simple],A60
Infección de genitales y trayecto urogenital debida a virus del herpes [herpes simple],A600
Infección de la piel perianal y recto por virus del herpes simple,A601
"Infección anogenital por virus del herpes simple, sin otra especificación",A609
"Otras enfermedades de transmisión predominantemente sexual, no clasificadas en otra parte",A63
Verrugas (venéreas) anogenitales,A630
"Otras enfermedades de transmisión predominantemente sexual, especificadas",A638
Enfermedad de transmisión sexual no ­especificada,A64
Sífilis no venérea,A65
Frambesia,A66
Lesiones iniciales de frambesia,A660
Lesiones papilomatosas múltiples y frambesia con paso de cangrejo,A661
Otras lesiones precoces de la piel en la frambesia,A662
Hiperqueratosis de frambesia,A663
Goma y úlceras de frambesia,A664
Gangosa,A665
Lesiones frambésicas de los huesos y de las articulaciones,A666
Otras manifestaciones de frambesia,A667
Frambesia latente,A668
"Frambesia, no especificada",A669
Pinta [carate],A67
Lesiones primarias de la pinta,A670
Lesiones intermedias de la pinta,A671
Lesiones tardías de la pinta,A672
Lesiones mixtas de la pinta,A673
"Pinta, no especificada",A679
Fiebres recurrentes,A68
Fiebre recurrente transmitida por piojos,A680
Fiebre recurrente transmitida por garrapatas,A681
"Fiebre recurrente, no especificada",A689
Otras infecciones causadas por espiroquetas,A69
Estomatitis ulcerativa necrotizante,A690
Otras infecciones de Vincent,A691
Enfermedad de Lyme,A692
Otras infecciones especificadas por espiroquetas,A698
"Infección por espiroqueta, no especificada",A699
Infección debida a Chlamydia psittaci,A70
Tracoma,A71
Estado inicial de tracoma,A710
Estado activo de tracoma,A711
"Tracoma, no especificado",A719
Otras enfermedades causadas por clamidias,A74
Conjuntivitis por clamidias (H13.1),A740
Otras enfermedades por clamidias,A748
"Infección por clamidias, no especificada",A749
Tifus,A75
Tifus epidémico debido a Rickettsia prowazekii transmitido por piojos,A750
Tifus recrudescente [enfermedad de Brill],A751
Tifus debido a Rickettsia typhi,A752
Tifus debido a Rickettsia tsutsugamushi,A753
"Tifus, no especificado",A759
Fiebre maculosa [rickettsiosis transmitida por garrapatas],A77
Fiebre maculosa debida a Rickettsia rickettsii,A770
Fiebre maculosa debida a Rickettsia conorii,A771
Fiebre maculosa debida a Rickettsia siberica,A772
Fiebre maculosa debida a Rickettsia australis,A773
Otras fiebres maculosas,A778
"Fiebre maculosa, no especificada",A779
Fiebre Q,A78
Otras rickettsiosis,A79
Fiebre de las trincheras,A790
Rickettsiosis pustulosa debida a Rickettsia akari,A791
Otras rickettsiosis especificadas,A798
"Rickettsiosis, no especificada",A799
Poliomielitis aguda,A80
"Poliomielitis aguda paralítica, asociada a vacuna",A800
Poliomielitis aguda paralítica debida a virus salvaje importado,A801
Poliomielitis aguda paralítica debida a virus salvaje autóctono,A802
"Otras poliomielitis agudas paralíticas, y las no especificadas",A803
Poliomielitis aguda no paralítica,A804
"Poliomielitis aguda, sin otra especificación",A809
Infecciones del sistema nervioso central por virus atípico,A81
Enfermedad de Creutzfeldt-Jakob,A810
Panencefalitis esclerosante subaguda,A811
Leucoencefalopatía multifocal progresiva,A812
Otras infecciones del sistema nervioso central por virus atípico,A818
"Infecciones del sistema nervioso central por virus atípico, sin otra especificación",A819
Rabia,A82
Rabia selvática,A820
Rabia urbana,A821
"Rabia, sin otra especificación",A829
Encefalitis viral transmitida por mosquitos,A83
Encefalitis japonesa,A830
Encefalitis equina del oeste,A831
Encefalitis equina del este,A832
Encefalitis de San Luis,A833
Encefalitis australiana,A834
Encefalitis de California,A835
Enfermedad por virus Rocío,A836
Otras encefalitis virales transmitidas por mosquitos,A838
"Encefalitis viral transmitida por mosquitos, sin otra especificación",A839
Encefalitis viral transmitida por garrapatas,A84
Encefalitis del Lejano Oriente transmitida por garrapatas [encefalitis primaveroestival rusa],A840
Encefalitis centroeuropea transmitida por garrapatas,A841
Otras encefalitis virales transmitidas por garrapatas,A848
"Encefalitis viral transmitida por garrapatas, sin otra especificación",A849
"Otras encefalitis virales, no clasificadas en otra parte",A85
Encefalitis enteroviral (G05.1),A850
Encefalitis por adenovirus (G05.1),A851
"Encefalitis viral transmitida por artrópodos, sin otra especificación",A852
Otras encefalitis virales especificadas,A858
"Encefalitis viral, no especificada",A86
Meningitis viral,A87
Meningitis enteroviral (G02.0),A870
Meningitis debida a adenovirus (G02.0),A871
Coriomeningitis linfocítica,A872
Otras meningitis virales,A878
"Meningitis viral, sin otra especificación",A879
"Otras infecciones virales del sistema nervioso central, no clasificadas en otra parte",A88
Fiebre exantemática enteroviral [exantema de Boston],A880
Vértigo epidémico,A881
Otras infecciones virales especificadas del sistema nervioso central,A888
"Infección viral del sistema nervioso central, no especificada",A89
Fiebre del dengue [dengue clásico],A90
Fiebre del dengue hemorrágico,A91
Otras fiebres virales transmitidas por mosquitos,A92
Enfermedad por virus Chikungunya,A920
Fiebre de O’nyong-nyong,A921
Fiebre equina venezolana,A922
Enfermedad viral del oeste del Nilo,A923
Fiebre del valle del Rift,A924
Otras fiebres virales especificadas transmitidas por mosquitos,A928
"Fiebre viral transmitida por mosquito, sin otra especificación",A929
"Otras fiebres virales transmitidas por artrópodos, no clasificadas en otra parte",A93
Enfermedad por virus de Oropouche,A930
Fiebre transmitida por flebótomos,A931
Fiebre de Colorado transmitida por garrapatas,A932
Otras fiebres virales especificadas transmitidas por artrópodos,A938
"Fiebre viral transmitida por artrópodos, no ­especificada",A94
Fiebre amarilla,A95
Fiebre amarilla selvática,A950
Fiebre amarilla urbana,A951
"Fiebre amarilla, no especificada",A959
Fiebre hemorrágica por arenavirus,A96
Fiebre hemorrágica de Junín,A960
Fiebre hemorrágica de Machupo,A961
Fiebre de Lassa,A962
Otras fiebres hemorrágicas por arenavirus,A968
"Fiebre hemorrágica por arenavirus, sin otra especificación",A969
"Otras fiebres virales hemorrágicas, no clasificadas en otra parte",A98
Fiebre hemorrágica de Crimea-Congo,A980
Fiebre hemorrágica de Omsk,A981
Enfermedad de la selva de Kyasanur,A982
Enfermedad por el virus de Marburg,A983
Enfermedad por el virus de Ebola,A984
Fiebres hemorrágicas con síndrome renal,A985
Otras fiebres hemorrágicas virales especificadas,A988
"Fiebre viral hemorrágica, no especificada",A99
Infecciones herpéticas [herpes simple],B00
Eczema herpético,B000
Dermatitis vesicular herpética,B001
Gingivoestomatitis y faringoamigdalitis herpética,B002
Meningitis herpética (G02.0),B003
Encefalitis herpética (G05.1),B004
Oculopatía herpética,B005
Enfermedad herpética diseminada,B007
Otras formas de infecciones herpéticas,B008
"Infección debida al virus del herpes, no especificada",B009
Varicela,B01
Meningitis debida a varicela (G02.0),B010
Encefalitis debida a varicela (G05.1),B011
Neumonía debida a varicela (J17.1),B012
Varicela con otras complicaciones,B018
Varicela sin complicaciones,B019
Herpes zoster,B02
Encefalitis debida a herpes zoster (G05.1),B020
Meningitis debida a herpes zoster (G02.0),B021
Herpes zoster con otros compromisos del sistema nervioso,B022
Herpes zoster ocular,B023
Herpes zoster diseminado,B027
Herpes zoster con otras complicaciones,B028
Herpes zoster sin complicaciones,B029
Viruela1,B03
Viruela de los monos,B04
Sarampión,B05
Sarampión complicado con encefalitis (G05.1),B050
Sarampión complicado con meningitis (G02.0),B051
Sarampión complicado con neumonía (J17.1),B052
Sarampión complicado con otitis media (H67.1),B053
Sarampión con complicaciones intestinales,B054
Sarampión con otras complicaciones,B058
Sarampión sin complicaciones,B059
Rubéola [sarampión alemán],B06
Rubéola con complicaciones neurológicas,B060
Rubéola con otras complicaciones,B068
Rubéola sin complicaciones,B069
Verrugas víricas,B07
"Otras infecciones víricas caracterizadas por lesiones de la piel y de las membranas mucosas, no clasificadas en otra parte",B08
Otras infecciones debidas a ortopoxvirus,B080
Molusco contagioso,B081
Exantema súbito [sexta enfermedad],B082
Eritema infeccioso [quinta enfermedad],B083
Estomatitis vesicular enteroviral con exantema,B084
Faringitis vesicular enterovírica,B085
"Otras infecciones virales especificadas, caracterizadas por lesiones de la piel y de las membranas mucosas",B088
"Infección viral no especificada, caracterizada por lesiones de la piel y de las membranas mucosas",B09
Hepatitis aguda tipo A,B15
"Hepatitis aguda tipo A, con coma hepático",B150
"Hepatitis aguda tipo A, sin coma hepático",B159
Hepatitis aguda tipo B,B16
"Hepatitis aguda tipo B, con agente delta (coinfección), con coma hepático",B160
"Hepatitis aguda tipo B, con agente delta (coinfección), sin coma hepático",B161
"Hepatitis aguda tipo B, sin agente delta, con coma hepático",B162
"Hepatitis aguda tipo B, sin agente delta y sin coma hepático",B169
Otras hepatitis virales agudas,B17
Infección (superinfección) aguda por agente delta en el portador de hepatitis B,B170
Hepatitis aguda tipo C,B171
Hepatitis aguda tipo E,B172
Otras hepatitis virales agudas especificadas,B178
Hepatitis viral crónica,B18
"Hepatitis viral tipo B crónica, con agente delta",B180
"Hepatitis viral tipo B crónica, sin agente delta",B181
Hepatitis viral tipo C crónica,B182
Otras hepatitis virales crónicas,B188
"Hepatitis viral crónica, sin otra especificación",B189
"Hepatitis viral, sin otra especificación",B19
Hepatitis viral no especificada con coma,B190
Hepatitis viral no especificada sin coma,B199
"Enfermedad por virus de la inmunodeficiencia humana [VIH], resultante en enfermedades ­infecciosas y parasitarias",B20
"Enfermedad por VIH, resultante en infección por micobacterias",B200
"Enfermedad por VIH, resultante en otras infecciones bacterianas",B201
"Enfermedad por VIH, resultante en enfermedad por citomegalovirus",B202
"Enfermedad por VIH, resultante en otras infecciones virales",B203
"Enfermedad por VIH, resultante en candidiasis",B204
"Enfermedad por VIH, resultante en otras micosis",B205
"Enfermedad por VIH, resultante en neumonía por Pneumocystis jirovecii",B206
"Enfermedad por VIH, resultante en infecciones múltiples",B207
"Enfermedad por VIH, resultante en otras enfermedades infecciosas o parasitarias",B208
"Enfermedad por VIH, resultante en enfermedad infecciosa o parasitaria no especificada",B209
"Enfermedad por virus de la inmunodeficiencia humana [VIH], resultante en tumores malignos",B21
"Enfermedad por VIH, resultante en sarcoma de Kaposi",B210
"Enfermedad por VIH, resultante en linfoma de Burkitt",B211
"Enfermedad por VIH, resultante en otros tipos de linfoma no Hodgkin",B212
"Enfermedad por VIH, resultante en otros tumores malignos del tejido linfoide, hematopoyético y tejidos relacionados",B213
"Enfermedad por VIH, resultante en tumores malignos múltiples",B217
"Enfermedad por VIH, resultante en otros tumores malignos",B218
"Enfermedad por VIH, resultante en tumores malignos no especificados",B219
"Enfermedad por virus de la inmunodeficiencia humana [VIH], resultante en otras enfermedades especificadas",B22
"Enfermedad por VIH, resultante en encefalopatía",B220
"Enfermedad por VIH, resultante en neumonitis linfoide intersticial",B221
"Enfermedad por VIH, resultante en síndrome caquéctico",B222
"Enfermedad por VIH, resultante en enfermedades múltiples clasificadas en otra parte",B227
"Enfermedad por virus de la inmunodeficiencia humana [VIH], resultante en otras afecciones",B23
Síndrome de infección aguda debida a VIH,B230
"Enfermedad por VIH, resultante en linfadenopatía generalizada (persistente)",B231
"Enfermedad por VIH, resultante en anormalidades inmuno­lógicas y hematológicas, no clasificadas en otra parte",B232
"Enfermedad por VIH, resultante en otras afecciones especificadas",B238
"Enfermedad por virus de la inmunodeficiencia humana [VIH], sin otra especificación",B24
Enfermedad debida a virus citomegálico,B25
Neumonitis debida a virus citomegálico (J17.1),B250
Hepatitis debida a virus citomegálico ((K77.0),B251
Pancreatitis debida a virus citomegálico (K87.1),B252
Otras enfermedades debidas a virus citomegálico,B258
"Enfermedad por virus citomegálico, no especificada",B259
Parotiditis infecciosa,B26
Orquitis por parotiditis (N51.1),B260
Meningitis por parotiditis (G02.0),B261
Encefalitis por parotiditis (G05.1),B262
Pancreatitis por parotiditis (K87.1),B263
Parotiditis infecciosa con otras complicaciones,B268
"Parotiditis, sin complicaciones",B269
Mononucleosis infecciosa,B27
Mononucleosis debida a herpes virus gamma,B270
Mononucleosis por citomegalovirus,B271
Otras mononucleosis infecciosas,B278
"Mononucleosis infecciosa, no especificada",B279
Conjuntivitis viral,B30
Queratoconjuntivitis debida a adenovirus (H19.2),B300
Conjuntivitis debida a adenovirus (H13.1),B301
Faringoconjuntivitis viral,B302
Conjuntivitis epidémica aguda hemorrágica (enterovírica) (H13.1),B303
Otras conjuntivitis virales (H13.1),B308
"Conjuntivitis viral, sin otra especificación",B309
"Otras enfermedades virales, no clasificadas en otra parte",B33
Mialgia epidémica,B330
Enfermedad del río Ross,B331
Carditis viral,B332
"Infecciones debidas a retrovirus, no clasificadas en otra parte",B333
Síndrome (cardio)-pulmonar por hantavirus [SPH] [SCPH] (J17.1),B334
Otras enfermedades virales especificadas,B338
Infección viral de sitio no especificado,B34
"Infección debida a adenovirus, de sitio no especificado",B340
"Infección debida a enterovirus, de sitio no especificado",B341
"Infección debida a Coronavirus, de sitio no especificado",B342
"Infección debida a Parvovirus, de sitio no especificado",B343
"Infección debida a Papovavirus, de sitio no especificado",B344
"Otras infecciones virales, de sitio no especificado",B348
"Infección viral, no especificada",B349
Dermatofitosis,B35
Tiña de la barba y del cuero cabelludo,B350
Tiña de las uñas,B351
Tiña de la mano,B352
Tiña del pie [Tinea pedis],B353
Tiña del cuerpo [Tinea corporis],B354
Tiña imbricada [Tinea imbricata],B355
Tiña inguinal [Tinea cruris],B356
Otras dermatofitosis,B358
"Dermatofitosis, no especificada",B359
Otras micosis superficiales,B36
Pitiriasis versicolor,B360
Tiña negra,B361
Piedra blanca,B362
Piedra negra,B363
Otras micosis superficiales especificadas,B368
"Micosis superficial, sin otra especificación",B369
Candidiasis,B37
Estomatitis candidiásica,B370
Candidiasis pulmonar,B371
Candidiasis de la piel y las uñas,B372
Candidiasis de la vulva y de la vagina (N77.1),B373
Candidiasis de otras localizaciones urogenitales,B374
Meningitis debida a candida (G02.1),B375
Endocarditis debida a candida (I39.8),B376
Septicemia debida a candida,B377
Candidiasis de otros sitios,B378
"Candidiasis, no especificada",B379
Coccidioidomicosis,B38
Coccidioidomicosis pulmonar aguda,B380
Coccidioidomicosis pulmonar crónica,B381
"Coccidioidomicosis pulmonar, sin otra especificación",B382
Coccidioidomicosis cutánea,B383
Meningitis debida a coccidioidomicosis (G02.1),B384
Coccidioidomicosis diseminada,B387
Otras formas de coccidioidomicosis,B388
"Coccidioidomicosis, no especificada",B389
Histoplasmosis,B39
Infección pulmonar aguda debida a Histoplasma capsulatum,B390
Infección pulmonar crónica debida a Histoplasma capsulatum,B391
"Infección pulmonar debida a Histoplasma capsulatum, sin otra especificación",B392
Infección diseminada debida a Histoplasma capsulatum,B393
"Histoplasmosis debida a Histoplasma capsulatum, sin otra especificación",B394
Infección debida a Histoplasma duboisii,B395
"Histoplasmosis, no especificada",B399
Blastomicosis,B40
Blastomicosis pulmonar aguda,B400
Blastomicosis pulmonar crónica,B401
"Blastomicosis pulmonar, sin otra especificación",B402
Blastomicosis cutánea,B403
Blastomicosis diseminada,B407
Otras formas de blastomicosis,B408
"Blastomicosis, no especificada",B409
Paracoccidioidomicosis,B41
Paracoccidioidomicosis pulmonar,B410
Paracoccidioidomicosis diseminada,B417
Otras formas de paracoccidioidomicosis,B418
"Paracoccidioidomicosis, no especificada",B419
Esporotricosis,B42
Esporotricosis pulmonar (J99.8),B420
Esporotricosis linfocutánea,B421
Esporotricosis diseminada,B427
Otras formas de esporotricosis,B428
"Esporotricosis, no especificada",B429
Cromomicosis y absceso feomicótico,B43
Cromomicosis cutánea,B430
Absceso cerebral feomicótico,B431
Absceso y quiste subcutáneo feomicótico,B432
Otras formas de cromomicosis,B438
"Cromomicosis, no especificada",B439
Aspergilosis,B44
