"CODE","DIAGNOSTIC"
"M707","otras bursitis de la cadera"
"M708","otros trastornos de los tejidos blandos relacionados con el uso, el uso excesivo y la presion"
"M709","trastorno no especificado de los tejidos blandos relacionado con el uso, el uso excesivo y la presion"
"M71","otras bursopatias"
"M710","absceso de la bolsa sinovial"
"M711","otras bursitis infecciosas"
"M712","quiste sinovial del hueco popliteo [de baker]"
"M713","otros quistes de la bolsa serosa"
"M714","deposito de calcio  en la bolsa serosa"
"M715","otras bursitis, no clasificadas en otra parte"
"M718","otros trastornos especificados de la bolsa serosa"
"M719","bursopatia, no especificada"
"M72","trastornos fibroblasticos"
"M720","fibromatosis de la aponeurosis palmar [dupuytren]"
"M721","nodulos interfalangicos"
"M722","fibromatosis de la aponeurosis plantar"
"M723","fascitis nodular"
"M724","fibromatosis seudosarcomatosa"
"M725","fascitis, no clasificada en otra parte"
"M726","fascitis necrotizante"
"M728","otros trastornos fibroblasticos"
"M729","trastorno fibroblastico, no especificado"
"M73","trastornos de los tejidos blandos en enfermedades clasificadas en otra parte"
"M730","bursitis gonococica"
"M731","bursitis sifilitica"
"M738","otros trastornos de los tejidos blandos en enfermedades clasificadas en otra parte"
"M75","lesiones del hombro"
"M750","capsulitis adhesiva del hombro"
"M751","sindrome del manguito rotatorio"
"M752","tendinitis del biceps"
"M753","tendinitis calcificante del hombro"
"M754","sindrome de abduccion dolorosa del hombro"
"M755","bursitis del hombro"
"M758","otras lesiones del hombro"
"M759","lesion del hombro, no especificada"
"M76","entesopatias del miembro inferior, excluido el pie"
"M760","tendinitis del gluteo"
"M761","tendinitis del psoas"
"M762","espolon de la cresta iliaca"
"M763","sindrome del tendon del tensor de la fascia lata"
"M764","bursitis tibial colateral [pellegrini-stieda]"
"M765","tendinitis rotuliana"
"M766","tendinitis aquiliana"
"M767","tendinitis peroneal"
"M768","otras entesopatias del miembro inferior, excluido el pie"
"M769","entesopatia del miembro inferior, no especificada"
"M77","otras entesopatias"
"M770","epicondilitis media"
"M771","epicondilitis lateral"
"M772","periartritis de la muñeca"
"M773","espolon calcaneo"
"M774","metatarsalgia"
"M775","otras entesopatias del pie"
"M778","otras entesopatias, no clasificadas en otra parte"
"M779","entesopatia, no especificada"
"M79","otros trastornos de los tejidos blandos, no clasificados en otra parte"
"M790","reumatismo, no especificado"
"M791","mialgia"
"M792","neuralgia y neuritis, no especificadas"
"M793","paniculitis, no especificada"
"M794","hipertrofia de paquete adiposo (infrarrotuliano)"
"M795","cuerpo extraño residual en tejido blando"
"M796","dolor en miembro"
"M797","fibromialgia"
"M798","otros trastornos especificados de los tejidos blandos"
"M799","trastorno de los tejidos blandos, no especificado"
"M80","osteoporosis con fractura patologica"
"M800","osteoporosis postmenopausica, con fractura patologica"
"M801","osteoporosis postooforectomia, con fractura patologica"
"M802","osteoporosis por desuso, con fractura patologica"
"M803","osteoporosis por malabsorcion postquirurgica, con fractura patologica"
"M804","osteoporosis inducida por drogas, con fractura patologica"
"M805","osteoporosis idiopatica, con fractura patologica"
"M808","otras osteoporosis, con fractura patologica"
"M809","osteoporosis no especificada, con fractura patologica"
"M81","osteoporosis sin fractura patologica"
"M810","osteoporosis postmenopausica, sin fractura patologica"
"M811","osteoporosis postooforectomia, sin fractura patologica"
"M812","osteoporosis por desuso, sin fractura patologica"
"M813","osteoporosis por malabsorcion postquirurgica, sin fractura patologica"
"M814","osteoporosis inducida por drogas, sin fractura patologica"
"M815","osteoporosis idiopatica, sin fractura patologica"
"M816","osteoporosis localizada [lequesne], sin fractura patologica"
"M818","otras osteoporosis, sin fractura patologica"
"M819","osteoporosis no especificada, sin fractura patologica"
"M82","osteoporosis en enfermedades clasificadas en otra parte"
"M820","osteoporosis en mielomatosis multiple"
"M821","osteoporosis en trastornos endocrinos"
"M828","osteoporosis en otras enfermedades clasificadas en otra parte"
"M83","osteomalacia del adulto"
"M830","osteomalacia puerperal"
"M831","osteomalacia senil"
"M832","osteomalacia del adulto debida a malabsorcion"
"M833","osteomalacia del adulto debida a desnutricion"
"M834","enfermedad de los huesos por aluminio"
"M835","otras osteomalacias del adulto inducidas por drogas"
"M838","otras osteomalacias del adulto"
"M839","osteomalacia del adulto, no especificada"
"M84","trastornos de la continuidad del hueso"
"M840","consolidacion defectuosa de fractura"
"M841","falta de consolidacion de fractura [seudoartrosis]"
"M842","consolidacion retardada de fractura"
"M843","fractura por tension, no clasificada en otra parte"
"M844","fractura patologica, no clasificada en otra parte"
"M848","otros trastornos de la continuidad del hueso"
"M849","trastorno de la continuidad del hueso, no especificado"
"M85","otros trastornos de la densidad y de la estructura oseas"
"M850","displasia fibrosa (monostotica)"
"M851","fluorosis del esqueleto"
"M852","hiperostosis del craneo"
"M853","osteitis condensante"
"M854","quiste oseo solitario"
"M855","quiste oseo aneurismatico"
"M856","otros quistes oseos"
"M858","otros trastornos especificados de la densidad y de la estructura oseas"
"M859","trastorno de la densidad y de la estructura oseas, no especificado"
"M86","osteomielitis"
"M860","osteomielitis hematogena aguda"
"M861","otras osteomielitis agudas"
"M862","osteomielitis subaguda"
"M863","osteomielitis multifocal cronica"
"M864","osteomielitis cronica con drenaje del seno"
"M865","otras osteomielitis hematogenas cronicas"
"M866","otras osteomielitis cronicas"
"M868","otras osteomielitis"
"M869","osteomielitis, no especificada"
"M87","osteonecrosis"
"M870","necrosis aseptica idiopatica osea"
"M871","osteonecrosis debida a drogas"
"M872","osteonecrosis debida a traumatismo previo"
"M873","otras osteonecrosis secundarias"
"M878","otras osteonecrosis"
"M879","osteonecrosis, no especificada"
"M88","enfermedad de paget de los huesos [osteitis deformante]"
"M880","enfermedad de paget del craneo"
"M888","enfermedad de paget de otros huesos"
"M889","enfermedad osea de paget, huesos no especificados"
"M89","otros trastornos del hueso"
"M890","algoneurodistrofia"
"M891","detencion del crecimiento epifisario"
"M892","otros trastornos del desarrollo y crecimiento oseo"
"M893","hipertrofia del hueso"
"M894","otras osteoartropatias hipertroficas"
"M895","osteolisis"
"M896","osteopatia a consecuencia de poliomielitis"
"M898","otros trastornos especificados del hueso"
"M899","trastorno del hueso, no especificado"
"M90","osteopatias en enfermedades clasificadas en otra parte"
"M900","tuberculosis osea"
"M901","periostitis en otras enfermedades infecciosas clasificadas en otra parte"
"M902","osteopatia en otras enfermedades infecciosas clasificadas en otra parte"
"M903","osteonecrosis en la enfermedad causada por descompresion"
"M904","osteonecrosis debida a hemoglobinopatia"
"M905","osteonecrosis en otras enfermedades clasificadas en otra parte"
"M906","osteitis deformante en enfermedad neoplasica"
"M907","fractura osea en enfermedad neoplasica"
"M908","osteopatia en otras enfermedades clasificadas en otra parte"
"M91","osteocondrosis juvenil de la cadera y de la pelvis"
"M910","osteocondrosis juvenil de la pelvis"
"M911","osteocondrosis juvenil de la cabeza del femur [legg-calve-perthes]"
"M912","coxa plana"
"M913","pseudocoxalgia"
"M918","otras osteocondrosis juveniles de la cadera y de la pelvis"
"M919","osteocondrosis juvenil de la cadera y de la pelvis, sin otra especificacion"
"M92","otras osteocondrosis juveniles"
"M920","osteocondrosis juvenil del humero"
"M921","osteocondrosis juvenil del cubito y del radio"
"M922","osteocondrosis juvenil de la mano"
"M923","otras osteocondrosis juveniles del miembro superior"
"M924","osteocondrosis juvenil de la rotula"
"M925","osteocondrosis juvenil de la tibia y del perone"
"M926","osteocondrosis juvenil del tarso"
"M927","osteocondrosis juvenil del metatarso"
"M928","otras osteocondrosis juveniles especificadas"
"M929","osteocondrosis juvenil, no especificada"
"M93","otras osteocondropatias"
"M930","deslizamiento de la epifisis femoral superior (no traumatico)"
"M931","enfermedad de kienböck del adulto"
"M932","osteocondritis disecante"
"M938","otras osteocondropatias especificadas"
"M939","osteocondropatia, no especificada"
"M94","otros trastornos del cartilago"
"M940","sindrome de la articulacion condrocostal [tietze]"
"M941","policondritis recidivante"
"M942","condromalacia"
"M943","condrolisis"
"M948","otros trastornos especificados del cartilago"
"M949","trastorno del cartilago, no especificado"
"M95","otras deformidades adquiridas del sistema osteomuscular y del tejido conjuntivo"
"M950","deformidad adquirida de la nariz"
"M951","oreja en coliflor"
"M952","otras deformidades adquiridas de la cabeza"
"M953","deformidad adquirida del cuello"
"M954","deformidad adquirida de costillas y torax"
"M955","deformidad adquirida de la pelvis"
"M958","otras deformidades adquiridas especificadas del sistema osteomuscular"
"M959","deformidad adquirida del sistema osteomuscular, no especificada"
"M96","trastornos osteomusculares consecutivos a procedimientos, no clasificados en otra parte"
"M960","seudoartrosis consecutiva a fusion o artrodesis"
"M961","sindrome postlaminectomia, no clasificado en otra parte"
"M962","cifosis postradiacion"
"M963","cifosis postlaminectomia"
"M964","lordosis postquirurgica"
"M965","escoliosis postrradiacion"
"M966","fractura de hueso posterior a insercion o implante ortopedico, protesis articular o placa osea"
"M968","otros trastornos osteomusculares consecutivos a procedimientos"
"M969","trastornos osteomusculares no especificados consecutivos a procedimientos"
"M99","lesiones biomecanicas, no clasificadas en otra parte"
"M990","disfuncion segmental o somatica"
"M991","complejo de subluxacion (vertebral)"
"M992","subluxacion con estenosis del canal neural"
"M993","estenosis osea del canal neural"
"M994","estenosis del canal neural por tejido conjuntivo"
"M995","estenosis del canal neural por disco intervertebral"
"M996","estenosis osea y subluxacion de los agujeros intervertebrales"
"M997","estenosis de los agujeros intervertebrales por tejido conjuntivo o por disco intervertebral"
"M998","otras lesiones biomecanicas"
"M999","lesion biomecanica, no especificada"
